question_text,option_a,option_b,option_c,option_d,correct_answer
What is a paragraph unified by?,Supporting details,A topic sentence,A transition word,A quotation,b
Coherence in a paragraph refers to:,Logical progression of ideas,Correct grammar only,Formal tone throughout,Frequent examples,a
Examples and illustrations in paragraph development help to:,Confuse the reader,Delay the topic sentence,Clarify abstract ideas,Lengthen the text,c
"Transition devices like ""firstly,"" ""moreover,"" and ""however"" are used to show:",Spelling variations,Logical relationships between ideas,Synonyms for topic sentences,Paragraph length,b
Beginning a paragraph with the topic sentence usually helps because:,It surprises the reader,It gives clarity to the main idea early,It avoids transitional words,It makes writing longer,b
Placing the topic sentence at the end of a paragraph is effective when:,It repeats the first sentence,It sums up supporting details,It complicates the meaning,It removes coherence,b
Which of the following is the best definition method?,A bird flies high,A poem describes feelings,A map is a representation of an area,A letter contains advice,c
"The definition: ""A mammal is a warmblooded vertebrate that has four limbs and a hairy skin"" is an example of:",Cause and effect,Illustration,Simple definition with examples,Formal letter writing,c
"A paragraph that lists causes like glaciers, frost, and wind to explain erosion is using:",Illustration,Cause and effect,Definition,Comparison,b
"In the causeandeffect paragraph about erosion, the most important cause stated is:",Wind,Water action,Frost,Glaciers,b
A paragraph that shows how humans and monkeys both need hierarchy for quick decisions is using:,Definition,Illustration,Comparison,Cause and effect,c
Words or phrases used to link sentences smoothly in a paragraph are called:,Examples,Definitions,Transitional devices,Layout styles,c
Which sentence structure often helps clarify a term in context?,The map is old.,A definition is exact.,"The map is a representation of land, sea, or sky.",Maps are everywhere.,c
"When a paragraph gives several effects of an earthquake like fires, buildings collapse, and tidal waves, the writing technique used is:",Illustration,Cause and effect,Definition,Description,b
"A descriptive paragraph starting with general traits, like the porpoise's size, then giving details about its features, demonstrates:",Cause and effect,Definition,Illustration,Description,d
"Identifying that topic sentences can appear at the beginning, middle, or end of a paragraph helps with:",Spelling accuracy,Understanding paragraph structure,Avoiding coherence,Reducing length,b
"Using words like ""for instance,"" ""specifically,"" or ""as an illustration"" signals that the paragraph is developed by:",Definition,Transition,Illustration,Comparison,c
Formal letters should use language that is:,Informal and personal,Objective and impersonal,Colloquial and short,Fictional and emotional,b
Summaries should be concise and:,Fictional,Repetitive,Clear and effective,Irrelevant,c
Active listening includes which key element?,Money,A functioning eye,Alexia,Inattention,b
Sign language is especially useful when communicating with the:,Blind,Blind and lepers,Deaf,Lepers,c
Paragraph development by cause and effect helps the reader:,To feel confused,To see reasons behind events,To skip examples,To increase paragraph length,b
A relative clause defining a mammal's characteristic would begin with:,For,Which or that,And,But,b
"Comparison paragraphs often first discuss one subject fully, then compare with another. That method is:",Block arrangement,Cause effect sequencing,Definition style,Illustration grouping,a
"The use of ""firstly,"" ""secondly,"" and ""finally"" in writing indicates:",Contrast,Time,Sequence,Definition,c
Placing a topic sentence at the end of a paragraph,helps clarity only for writers,allows sentences to build up to the topic,is always confusing,is against coherence rules,b
The main language style for business letters and reports is usually:,Informal,Semiformal,Formal,Jargon heavy,c
"Which writing type should avoid contracted forms like ""can't"" or ""I'm""?",Informal conversation,Semiformal reports,Formal writing,Text messages,c
