question_text,option_a,option_b,option_c,option_d,correct_answer
"What does culture encompass in the life of a people?","Only language","Physical environment alone","Total way of life including language, norms, values","Only religion",c
"Which of these is a material aspect of culture?","Music","Beliefs","Language","Norms",a
"The study of Nigerian peoples and culture helps promote…","Ethnic division","Inter-group conflict","National unity and tolerance","Political crisis",c
"Which of these is not a characteristic of culture?","Culture is learned","Culture is inherited biologically","Culture is shared","Culture is dynamic",b
"The three major ethnic groups in Nigeria are…","Yoruba, Hausa, Fulani","Igbo, Efik, Tiv","Hausa‑Fulani, Yoruba, Igbo","Ibibio, Urhobo, Nupe",c
"The Yoruba ethnic group is believed to have come into existence between which years?","1000–500 BC","1500–1200 BC","2000–1000 BC","500–100 BC",c
"Which author traced the origin of the Yoruba to the East (possibly Egypt)?","Akinjogbin","Egharevba","Rev. Samuel Johnson","Hodgkin",c
"The political system of the Yoruba was headed by the…","Obi","Emir","Oba","Sultan",c
"The council that checked and limited the power of the Alaafin in Oyo was called the…","Ogboni","Oyomesi","Ojoye","Uzama",b
"The Bini Oba was regarded as a divine ruler and head of both religion and state. True or False?","True","False","","",a
"Which empire was the first in West Africa to exchange ambassadors with Portugal?","Oyo","Bini","Hausa","Kanem-Bornu",b
"The origin legend involving Bayajida is associated with which ethnic group?","Yoruba","Igbo","Hausa","Ijaw",c
"The founder of the Hausa states, according to legend, came from Baghdad and helped kill a snake in Daura. Who is he?","Oduduwa","Bayajida","Eri","Tsoede",b
"Islamization in Hausa land introduced new political offices such as Alkali and Qadi. True or False?","True","False","","",a
"Traditional Igbo government is best described as:","Centralized monarchy","Acephalous and democratic","Federal state","Theocracy",b
"In Igbo society, the general assembly of male adults who made decisions was called:","Ogboni","Oyomesi","Amala Oha","Uzama",c
"In pre-colonial times, the major ethnic groups in Southern Nigeria included:","Yoruba, Bini, Igbo","Hausa, Kanuri, Tiv","Nupe, Jukun, Igala","Fulani, Yoruba, Kanem",a
"Which of these groups came from Benin and settled in the Niger Delta under Iginuwa?","Itsekiri","Urhobo","Ijaw","Tiv",a
"The Urhobo socio-political organization was similar to:","Hausaland","Igboland","Benin Kingdom","Sokoto Caliphate",c
"Which group practiced the ""house system"" with no centralized state because they lived in creek communities?","Yoruba","Ijaw","Hausa","Kanuri",b
"British amalgamation of Northern and Southern Nigeria occurred in:","1906","1914","1947","1960",b
"Nigeria gained independence in:","1956","1960","1963","1967",b
